source_path,source_line,source_repo,confidence_class,confidence_reason,trade_id,symbol,close_timestamp_utc,close_timestamp_et,close_hour_et,close_session_bucket,event_type,close_venue,pnl_usd,close_reason,direction,strategy,workflow_profile,signal_session,signal_confidence,signal_votes,signal_detectors,timeframe,exit_profile,open_timestamp_et,entry_price,stop_loss,take_profit,units,max_tracked_pnl_usd,max_tracked_pnl_timestamp_et,practice_order,live_api,visible_in_oanda,duplicate_source_count,duplicate_sources
/home/rfing/READ_ONLY_LEGACY/RBOTZILLA_VERSION_AUDIT_LAB/candidate_clones/cba_prod_current__1d0579d__d15f12e29ea9__20260425_053025/repo/RBOTZILLA_PHOENIX/_source_repos/rick_clean_live/narration.jsonl,73725,RBOTZILLA_VERSION_AUDIT_LAB,unlinked_close_candidate,"positive close event found, but matching practice OCO receipt was not present in the scanned file",,EUR_USD,2025-11-20T17:52:30.568022+00:00,2025-11-20T12:52:30.568022-05:00,12,midday_new_york_1130_14,TRADE_CLOSED,amm,25.0,,,,,,,,,,,,,,,,,,False,False,False,2,/home/rfing/READ_ONLY_LEGACY/Desktop/rick_clean_live/narration.jsonl;/home/rfing/READ_ONLY_LEGACY/RBOTZILLA_VERSION_AUDIT_LAB/candidate_clones/cba_prod_current__1d0579d__d15f12e29ea9__20260425_053025/repo/RBOTZILLA_PHOENIX/_source_repos/rick_clean_live/narration.jsonl
/home/rfing/READ_ONLY_LEGACY/RBOTZILLA_VERSION_AUDIT_LAB/candidate_clones/cba_prod_current__1d0579d__d15f12e29ea9__20260425_053025/repo/RBOTZILLA_PHOENIX/_source_repos/rick_clean_live/narration.jsonl,73735,RBOTZILLA_VERSION_AUDIT_LAB,unlinked_close_candidate,"positive close event found, but matching practice OCO receipt was not present in the scanned file",,EUR_USD,2025-11-20T17:54:58.235473+00:00,2025-11-20T12:54:58.235473-05:00,12,midday_new_york_1130_14,TRADE_CLOSED,amm,25.0,,,,,,,,,,,,,,,,,,False,False,False,2,/home/rfing/READ_ONLY_LEGACY/Desktop/rick_clean_live/narration.jsonl;/home/rfing/READ_ONLY_LEGACY/RBOTZILLA_VERSION_AUDIT_LAB/candidate_clones/cba_prod_current__1d0579d__d15f12e29ea9__20260425_053025/repo/RBOTZILLA_PHOENIX/_source_repos/rick_clean_live/narration.jsonl
/home/rfing/READ_ONLY_LEGACY/RBOTZILLA_VERSION_AUDIT_LAB/candidate_clones/cba_prod_current__1d0579d__d15f12e29ea9__20260425_053025/repo/RBOTZILLA_PHOENIX/_source_repos/rick_clean_live/narration.jsonl,73741,RBOTZILLA_VERSION_AUDIT_LAB,unlinked_close_candidate,"positive close event found, but matching practice OCO receipt was not present in the scanned file",,EUR_USD,2025-11-20T17:55:04.798481+00:00,2025-11-20T12:55:04.798481-05:00,12,midday_new_york_1130_14,TRADE_CLOSED,amm,25.0,,,,,,,,,,,,,,,,,,False,False,False,2,/home/rfing/READ_ONLY_LEGACY/Desktop/rick_clean_live/narration.jsonl;/home/rfing/READ_ONLY_LEGACY/RBOTZILLA_VERSION_AUDIT_LAB/candidate_clones/cba_prod_current__1d0579d__d15f12e29ea9__20260425_053025/repo/RBOTZILLA_PHOENIX/_source_repos/rick_clean_live/narration.jsonl
/home/rfing/READ_ONLY_LEGACY/RBOTZILLA_VERSION_AUDIT_LAB/candidate_clones/cba_prod_current__1d0579d__d15f12e29ea9__20260425_053025/repo/RBOTZILLA_PHOENIX/_source_repos/rick_clean_live/narration.jsonl,73753,RBOTZILLA_VERSION_AUDIT_LAB,unlinked_close_candidate,"positive close event found, but matching practice OCO receipt was not present in the scanned file",,EUR_USD,2025-11-20T17:56:20.442080+00:00,2025-11-20T12:56:20.442080-05:00,12,midday_new_york_1130_14,TRADE_CLOSED,amm,25.0,,,,,,,,,,,,,,,,,,False,False,False,2,/home/rfing/READ_ONLY_LEGACY/Desktop/rick_clean_live/narration.jsonl;/home/rfing/READ_ONLY_LEGACY/RBOTZILLA_VERSION_AUDIT_LAB/candidate_clones/cba_prod_current__1d0579d__d15f12e29ea9__20260425_053025/repo/RBOTZILLA_PHOENIX/_source_repos/rick_clean_live/narration.jsonl
/home/rfing/READ_ONLY_LEGACY/RBOTZILLA_VERSION_AUDIT_LAB/candidate_clones/cba_prod_current__1d0579d__d15f12e29ea9__20260425_053025/repo/RBOTZILLA_PHOENIX/_source_repos/rick_clean_live/narration.jsonl,73760,RBOTZILLA_VERSION_AUDIT_LAB,unlinked_close_candidate,"positive close event found, but matching practice OCO receipt was not present in the scanned file",,EUR_USD,2025-11-20T17:58:14.131452+00:00,2025-11-20T12:58:14.131452-05:00,12,midday_new_york_1130_14,TRADE_CLOSED,amm,25.0,,,,,,,,,,,,,,,,,,False,False,False,2,/home/rfing/READ_ONLY_LEGACY/Desktop/rick_clean_live/narration.jsonl;/home/rfing/READ_ONLY_LEGACY/RBOTZILLA_VERSION_AUDIT_LAB/candidate_clones/cba_prod_current__1d0579d__d15f12e29ea9__20260425_053025/repo/RBOTZILLA_PHOENIX/_source_repos/rick_clean_live/narration.jsonl
/home/rfing/READ_ONLY_LEGACY/RBOTZILLA_VERSION_AUDIT_LAB/candidate_clones/cba_prod_current__1d0579d__d15f12e29ea9__20260425_053025/repo/RBOTZILLA_PHOENIX/_source_repos/rick_clean_live/narration.jsonl,73767,RBOTZILLA_VERSION_AUDIT_LAB,unlinked_close_candidate,"positive close event found, but matching practice OCO receipt was not present in the scanned file",,EUR_USD,2025-11-20T18:00:17.256482+00:00,2025-11-20T13:00:17.256482-05:00,13,midday_new_york_1130_14,TRADE_CLOSED,amm,25.0,,,,,,,,,,,,,,,,,,False,False,False,2,/home/rfing/READ_ONLY_LEGACY/Desktop/rick_clean_live/narration.jsonl;/home/rfing/READ_ONLY_LEGACY/RBOTZILLA_VERSION_AUDIT_LAB/candidate_clones/cba_prod_current__1d0579d__d15f12e29ea9__20260425_053025/repo/RBOTZILLA_PHOENIX/_source_repos/rick_clean_live/narration.jsonl
/home/rfing/READ_ONLY_LEGACY/RBOTZILLA_VERSION_AUDIT_LAB/candidate_clones/cba_prod_current__1d0579d__d15f12e29ea9__20260425_053025/repo/RBOTZILLA_PHOENIX/_source_repos/RICK_LIVE_CLEAN_FROZEN/narration.jsonl,33569,RBOTZILLA_VERSION_AUDIT_LAB,unlinked_close_candidate,"positive close event found, but matching practice OCO receipt was not present in the scanned file",AMM_1_1763678239,EUR_USD,2025-11-20T22:37:25.372954+00:00,2025-11-20T17:37:25.372954-05:00,17,rollover_17_00,TRADE_CLOSED,oanda,50.0,,BUY,,,,,,,,,2025-11-20T17:37:19.998027-05:00,1.07939,1.07739,1.08579,1000.0,,,False,False,False,1,/home/rfing/READ_ONLY_LEGACY/RBOTZILLA_VERSION_AUDIT_LAB/candidate_clones/cba_prod_current__1d0579d__d15f12e29ea9__20260425_053025/repo/RBOTZILLA_PHOENIX/_source_repos/RICK_LIVE_CLEAN_FROZEN/narration.jsonl
/home/rfing/READ_ONLY_LEGACY/RBOTZILLA_VERSION_AUDIT_LAB/candidate_clones/cba_prod_current__1d0579d__d15f12e29ea9__20260425_053025/repo/RBOTZILLA_PHOENIX/_source_repos/RICK_LIVE_CLEAN_FROZEN/narration.jsonl,33640,RBOTZILLA_VERSION_AUDIT_LAB,unlinked_close_candidate,"positive close event found, but matching practice OCO receipt was not present in the scanned file",AMM_1_1763678335,EUR_USD,2025-11-20T22:39:01.423515+00:00,2025-11-20T17:39:01.423515-05:00,17,rollover_17_00,TRADE_CLOSED,oanda,50.0,,BUY,,,,,,,,,2025-11-20T17:38:55.865104-05:00,1.08044,1.07844,1.08684,1000.0,,,False,False,False,1,/home/rfing/READ_ONLY_LEGACY/RBOTZILLA_VERSION_AUDIT_LAB/candidate_clones/cba_prod_current__1d0579d__d15f12e29ea9__20260425_053025/repo/RBOTZILLA_PHOENIX/_source_repos/RICK_LIVE_CLEAN_FROZEN/narration.jsonl
/home/rfing/READ_ONLY_LEGACY/RBOTZILLA_VERSION_AUDIT_LAB/candidate_clones/cba_prod_current__1d0579d__d15f12e29ea9__20260425_053025/repo/RBOTZILLA_PHOENIX/_source_repos/RICK_LIVE_CLEAN_FROZEN/narration.jsonl,33678,RBOTZILLA_VERSION_AUDIT_LAB,unlinked_close_candidate,"positive close event found, but matching practice OCO receipt was not present in the scanned file",AMM_1_1763678378,EUR_USD,2025-11-20T22:39:43.652373+00:00,2025-11-20T17:39:43.652373-05:00,17,rollover_17_00,TRADE_CLOSED,oanda,50.0,,BUY,,,,,,,,,2025-11-20T17:39:38.444325-05:00,1.08007,1.07807,1.08647,1000.0,,,False,False,False,1,/home/rfing/READ_ONLY_LEGACY/RBOTZILLA_VERSION_AUDIT_LAB/candidate_clones/cba_prod_current__1d0579d__d15f12e29ea9__20260425_053025/repo/RBOTZILLA_PHOENIX/_source_repos/RICK_LIVE_CLEAN_FROZEN/narration.jsonl
/home/rfing/READ_ONLY_LEGACY/RBOTZILLA_VERSION_AUDIT_LAB/candidate_clones/cba_prod_current__1d0579d__d15f12e29ea9__20260425_053025/repo/RBOTZILLA_PHOENIX/_source_repos/RICK_LIVE_CLEAN_FROZEN/narration.jsonl,33855,RBOTZILLA_VERSION_AUDIT_LAB,unlinked_close_candidate,"positive close event found, but matching practice OCO receipt was not present in the scanned file",AMM_1_1763678602,EUR_USD,2025-11-20T22:43:27.697057+00:00,2025-11-20T17:43:27.697057-05:00,17,rollover_17_00,TRADE_CLOSED,oanda,50.0,,BUY,,,,,,,,,2025-11-20T17:43:22.515501-05:00,1.08088,1.07888,1.08728,1000.0,,,False,False,False,1,/home/rfing/READ_ONLY_LEGACY/RBOTZILLA_VERSION_AUDIT_LAB/candidate_clones/cba_prod_current__1d0579d__d15f12e29ea9__20260425_053025/repo/RBOTZILLA_PHOENIX/_source_repos/RICK_LIVE_CLEAN_FROZEN/narration.jsonl
